Date,Card Name,Set,Rarity,Condition,Price,Currency,Source Type,Source Name,URL/Reference,Listing Type,Seller Score,Availability,Volume,Observed By,Trust Score,Notes
2026-05-01,リザードン ex,SV4a 深緋の仮面,SAR,NM,28000,JPY,marketplace,Mercari,https://jp.mercari.com/item/m00000001,buy_now,98,available,1,gci-seed,,
2026-05-01,リザードン ex,SV4a 深緋の仮面,SAR,NM,27500,JPY,marketplace,ヤフオク,https://auctions.yahoo.co.jp/item/a000000001,auction,96,sold,1,gci-seed,,落札価格
2026-05-02,リザードン ex,SV4a 深緋の仮面,SAR,LP,22000,JPY,marketplace,Mercari,https://jp.mercari.com/item/m00000002,buy_now,92,available,1,gci-seed,,
2026-05-02,リザードン ex,SV4a 深緋の仮面,SAR,MP,15000,JPY,store,Card Labo,https://www.cardlabo.com/items/rl0001,fixed_price,100,available,3,gci-seed,,店頭価格
2026-05-03,ピカチュウ ex,SV1S スカーレット,SR,NM,4800,JPY,marketplace,Mercari,https://jp.mercari.com/item/m00000003,buy_now,95,available,1,gci-seed,,
2026-05-03,ピカチュウ ex,SV1S スカーレット,SR,NM,5000,JPY,marketplace,ヤフオク,https://auctions.yahoo.co.jp/item/a000000002,auction,88,sold,1,gci-seed,,
2026-05-04,ピカチュウ ex,SV1S スカーレット,SR,LP,3500,JPY,marketplace,Mercari,https://jp.mercari.com/item/m00000004,buy_now,90,available,1,gci-seed,,
2026-05-04,ミュウ ex,SV2P 黒炎の支配者,SAR,NM,8500,JPY,marketplace,Mercari,https://jp.mercari.com/item/m00000005,buy_now,97,available,1,gci-seed,,
2026-05-04,ミュウ ex,SV2P 黒炎の支配者,SAR,NM,8800,JPY,marketplace,ヤフオク,https://auctions.yahoo.co.jp/item/a000000003,auction,94,sold,1,gci-seed,,
2026-05-05,ミュウ ex,SV2P 黒炎の支配者,SAR,LP,6000,JPY,marketplace,Mercari,https://jp.mercari.com/item/m00000006,buy_now,85,available,1,gci-seed,,
2026-05-05,イーブイ,プロモ,プロモ,NM,1200,JPY,marketplace,Mercari,https://jp.mercari.com/item/m00000007,buy_now,91,available,2,gci-seed,,
2026-05-05,イーブイ,プロモ,プロモ,NM,1100,JPY,store,トレトク,https://toretoku.jp/items/ev001,fixed_price,100,available,5,gci-seed,,
2026-05-06,カイリュー ex,SV4K 古代の回廊,SAR,NM,6200,JPY,marketplace,Mercari,https://jp.mercari.com/item/m00000008,buy_now,93,available,1,gci-seed,,
2026-05-06,カイリュー ex,SV4K 古代の回廊,SAR,NM,6500,JPY,marketplace,ヤフオク,https://auctions.yahoo.co.jp/item/a000000004,auction,89,sold,1,gci-seed,,
2026-05-06,カイリュー ex,SV4K 古代の回廊,SAR,LP,4500,JPY,marketplace,Mercari,https://jp.mercari.com/item/m00000009,buy_now,87,available,1,gci-seed,,
2026-05-07,ゲンガー ex,SV4K 古代の回廊,SR,NM,3200,JPY,marketplace,Mercari,https://jp.mercari.com/item/m00000010,buy_now,96,available,1,gci-seed,,
2026-05-07,ゲンガー ex,SV4K 古代の回廊,SR,NM,3100,JPY,marketplace,ヤフオク,https://auctions.yahoo.co.jp/item/a000000005,auction,90,sold,1,gci-seed,,
2026-05-07,ゲンガー ex,SV4K 古代の回廊,SR,MP,1800,JPY,marketplace,Mercari,https://jp.mercari.com/item/m00000011,buy_now,82,available,1,gci-seed,,
2026-05-08,モンキー・D・ルフィ,OP01 ROMANCE DAWN,SEC,NM,45000,JPY,marketplace,Mercari,https://jp.mercari.com/item/m00000012,buy_now,99,available,1,gci-seed,,ワンピースTCG
2026-05-08,モンキー・D・ルフィ,OP01 ROMANCE DAWN,SEC,NM,44000,JPY,marketplace,ヤフオク,https://auctions.yahoo.co.jp/item/a000000006,auction,97,sold,1,gci-seed,,落札
2026-05-08,モンキー・D・ルフィ,OP01 ROMANCE DAWN,SEC,LP,35000,JPY,store,Card Labo,https://www.cardlabo.com/items/op0001,fixed_price,100,available,1,gci-seed,,
2026-05-09,ロロノア・ゾロ,OP01 ROMANCE DAWN,SR,NM,2800,JPY,marketplace,Mercari,https://jp.mercari.com/item/m00000013,buy_now,94,available,1,gci-seed,,
