game,cardName,set,rarity,conditions,minPrice,maxPrice,keywords,active
pokemon,ナンジャモ,sv2D クレイバースト,SAR,"NM,LP",3000,50000,ナンジャモ SAR sv2D,true
pokemon,ナンジャモ,sv2D クレイバースト,SAR,"NM",10000,200000,ナンジャモ SAR sv2D PSA10,true
pokemon,ナンジャモ,sv2D クレイバースト,SR,"NM,LP",1000,20000,ナンジャモ SR sv2D,true
pokemon,ナンジャモ,sv2D クレイバースト,SR,"NM",3000,80000,ナンジャモ SR sv2D PSA10,true
pokemon,ミモザ,sv1V バイオレットex,SAR,"NM,LP",3000,50000,ミモザ SAR sv1V,true
pokemon,ミモザ,sv1V バイオレットex,SAR,"NM",10000,200000,ミモザ SAR sv1V PSA10,true
pokemon,ミモザ,sv1V バイオレットex,SR,"NM,LP",1000,20000,ミモザ SR sv1V,true
pokemon,ミモザ,sv1V バイオレットex,SR,"NM",3000,80000,ミモザ SR sv1V PSA10,true
pokemon,キハダ,sv1a トリプレットビート,SAR,"NM,LP",3000,50000,キハダ SAR sv1a,true
pokemon,キハダ,sv1a トリプレットビート,SAR,"NM",10000,200000,キハダ SAR sv1a PSA10,true
pokemon,キハダ,sv1a トリプレットビート,SR,"NM,LP",1000,20000,キハダ SR sv1a,true
pokemon,キハダ,sv1a トリプレットビート,SR,"NM",3000,80000,キハダ SR sv1a PSA10,true
pokemon,ボタン,sv1S スカーレットex,SAR,"NM,LP",3000,50000,ボタン SAR sv1S,true
pokemon,ボタン,sv1S スカーレットex,SAR,"NM",10000,200000,ボタン SAR sv1S PSA10,true
pokemon,ボタン,sv1S スカーレットex,SR,"NM,LP",1000,20000,ボタン SR sv1S,true
pokemon,ボタン,sv1S スカーレットex,SR,"NM",3000,80000,ボタン SR sv1S PSA10,true
pokemon,カイ,s10P スペースジャグラー,SAR,"NM,LP",3000,50000,カイ SAR s10P,true
pokemon,カイ,s10P スペースジャグラー,SAR,"NM",10000,200000,カイ SAR s10P PSA10,true
pokemon,カイ,s10P スペースジャグラー,SR,"NM,LP",1000,20000,カイ SR s10P,true
pokemon,カイ,s10P スペースジャグラー,SR,"NM",3000,80000,カイ SR s10P PSA10,true
pokemon,セレナ,s11a 白熱のアルカナ,SR,"NM,LP",1000,20000,セレナ SR s11a,true
pokemon,セレナ,s11a 白熱のアルカナ,SR,"NM",3000,80000,セレナ SR s11a PSA10,true
pokemon,マリィ,s4a シャイニースターV,SR,"NM,LP",1000,20000,マリィ SR s4a,true
pokemon,マリィ,s4a シャイニースターV,SR,"NM",3000,80000,マリィ SR s4a PSA10,true
pokemon,マリィのプライド,sI スタートデッキ100,SR,"NM,LP",1000,20000,マリィのプライド SR sI,true
pokemon,マリィのプライド,sI スタートデッキ100,SR,"NM",3000,80000,マリィのプライド SR sI PSA10,true
pokemon,リーリエ,sm4+ GXバトルブースト,SR,"NM,LP",1000,20000,リーリエ SR sm4+,true
pokemon,リーリエ,sm4+ GXバトルブースト,SR,"NM",3000,80000,リーリエ SR sm4+ PSA10,true
pokemon,リーリエ,sm11b ドリームリーグ,TR,"NM,LP",500,8000,リーリエ TR sm11b,true
pokemon,リーリエ,sm11b ドリームリーグ,TR,"NM",1000,30000,リーリエ TR sm11b PSA10,true
pokemon,アセロラ,sm2+ 新たなる試練の向こう,SR,"NM,LP",1000,20000,アセロラ SR sm2+,true
pokemon,アセロラ,sm2+ 新たなる試練の向こう,SR,"NM",3000,80000,アセロラ SR sm2+ PSA10,true
pokemon,ルチア,sm7 裂空のカリスマ,SR,"NM,LP",1000,20000,ルチア SR sm7,true
pokemon,ルチア,sm7 裂空のカリスマ,SR,"NM",3000,80000,ルチア SR sm7 PSA10,true
pokemon,ユウリ,s8b VMAXクライマックス,SR,"NM,LP",1000,20000,ユウリ SR s8b,true
pokemon,ユウリ,s8b VMAXクライマックス,SR,"NM",3000,80000,ユウリ SR s8b PSA10,true
pokemon,シロナ,sm5M ウルトラムーン,SR,"NM,LP",1000,20000,シロナ SR sm5M,true
pokemon,シロナ,sm5M ウルトラムーン,SR,"NM",3000,80000,シロナ SR sm5M PSA10,true
pokemon,シロナ&カトレア,sm12 オルタージェネシス,SR,"NM,LP",1000,20000,シロナ&カトレア SR sm12,true
pokemon,シロナ&カトレア,sm12 オルタージェネシス,SR,"NM",3000,80000,シロナ&カトレア SR sm12 PSA10,true
pokemon,かんこうきゃく,sm12a TAG TEAM GX タッグオールスターズ,SR,"NM,LP",1000,20000,かんこうきゃく SR sm12a,true
pokemon,かんこうきゃく,sm12a TAG TEAM GX タッグオールスターズ,SR,"NM",3000,80000,かんこうきゃく SR sm12a PSA10,true
pokemon,メイ,sm11b ドリームリーグ,SR,"NM,LP",1000,20000,メイ SR sm11b,true
pokemon,メイ,sm11b ドリームリーグ,SR,"NM",3000,80000,メイ SR sm11b PSA10,true
pokemon,ヒガナ,sm6a ドラゴンストーム,SR,"NM,LP",1000,20000,ヒガナ SR sm6a,true
pokemon,ヒガナ,sm6a ドラゴンストーム,SR,"NM",3000,80000,ヒガナ SR sm6a PSA10,true
pokemon,フウロ,BW7 プラズマゲイル,SR,"NM,LP",1000,20000,フウロ SR BW7,true
pokemon,フウロ,BW7 プラズマゲイル,SR,"NM",3000,80000,フウロ SR BW7 PSA10,true
pokemon,ベル,BW6 コールドフレア,SR,"NM,LP",1000,20000,ベル SR BW6,true
pokemon,ベル,BW6 コールドフレア,SR,"NM",3000,80000,ベル SR BW6 PSA10,true
pokemon,エリカのおもてなし,sm9 タッグボルト,SR,"NM,LP",1000,20000,エリカのおもてなし SR sm9,true
pokemon,エリカのおもてなし,sm9 タッグボルト,SR,"NM",3000,80000,エリカのおもてなし SR sm9 PSA10,true
pokemon,サナ,s7R 蒼空ストリーム,SR,"NM,LP",1000,20000,サナ SR s7R,true
pokemon,サナ,s7R 蒼空ストリーム,SR,"NM",3000,80000,サナ SR s7R PSA10,true
pokemon,カトレア,s6K 漆黒のガイスト,SR,"NM,LP",1000,20000,カトレア SR s6K,true
pokemon,カトレア,s6K 漆黒のガイスト,SR,"NM",3000,80000,カトレア SR s6K PSA10,true
pokemon,クララ,s5a 双璧のファイター,SR,"NM,LP",1000,20000,クララ SR s5a,true
pokemon,クララ,s5a 双璧のファイター,SR,"NM",3000,80000,クララ SR s5a PSA10,true
pokemon,ルザミーネ,sm4+ GXバトルブースト,SR,"NM,LP",1000,20000,ルザミーネ SR sm4+,true
pokemon,ルザミーネ,sm4+ GXバトルブースト,SR,"NM",3000,80000,ルザミーネ SR sm4+ PSA10,true
pokemon,スイレン,sm4+ GXバトルブースト,SR,"NM,LP",1000,20000,スイレン SR sm4+,true
pokemon,スイレン,sm4+ GXバトルブースト,SR,"NM",3000,80000,スイレン SR sm4+ PSA10,true
pokemon,ブルーの探索,sm9b フルメタルウォール,SR,"NM,LP",1000,20000,ブルーの探索 SR sm9b,true
pokemon,ブルーの探索,sm9b フルメタルウォール,SR,"NM",3000,80000,ブルーの探索 SR sm9b PSA10,true
